label,boundary,size,gens,pattern,L,lz76_full,lz76_full_norm,zlib_full_bytes,zlib_full,zlib_full_std,roll_zlib_final,roll_zlib_final_std
40x40 / 100 gens / open boundary,constant,40x40,100,Block,10000,nan,nan,64,0.0064,0.0,0.0165,0.0
40x40 / 100 gens / open boundary,constant,40x40,100,Blinker,10000,nan,nan,34,0.0034,0.0,0.0115,0.0
40x40 / 100 gens / open boundary,constant,40x40,100,Glider,10000,nan,nan,65,0.0065,0.0,0.0175,0.0
40x40 / 100 gens / open boundary,constant,40x40,100,R-Pentomino,10000,nan,nan,55,0.0055,0.0,0.0115,0.0
40x40 / 100 gens / open boundary,constant,40x40,100,GliderGun,10000,nan,nan,384,0.0384,0.0,0.0705,0.0
100x100 / 300 gens / open boundary,constant,100x100,300,Block,187500,nan,nan,550,0.0029333333333333334,0.0,0.00504,0.0
100x100 / 300 gens / open boundary,constant,100x100,300,Blinker,187500,nan,nan,206,0.0010986666666666666,0.0,0.00288,0.0
100x100 / 300 gens / open boundary,constant,100x100,300,Glider,187500,nan,nan,426,0.002272,0.0,0.00464,0.0
100x100 / 300 gens / open boundary,constant,100x100,300,R-Pentomino,187500,nan,nan,549,0.002928,0.0,0.00504,0.0
100x100 / 300 gens / open boundary,constant,100x100,300,GliderGun,187500,nan,nan,1788,0.009536,0.0,0.0164,0.0
100x100 / 300 gens / open / Random seeds,constant,100x100,300,Random,187500,nan,nan,20578,0.10975253333333332,0.00785146053957125,0.066656,0.012588289160962262
100x100 / 300 gens / toroidal / Random seeds,wrap,100x100,300,Random,187500,nan,nan,20307,0.1083072,0.01018924789635296,0.069408,0.01825659595872133
